layer,split,context_tokens,variant,cupti_median_ms,cupti_p95_ms,event_median_ms,event_p95_ms,cupti_reduction_vs_flashinfer_percent,event_reduction_vs_flashinfer_percent,cupti_reduction_vs_torch_percent,event_reduction_vs_torch_percent
60,test_normal,12288,flashinfer,3.3494485000000713,3.357429249999891,3.3611040115356445,3.370676815509796,,,,
60,test_normal,12288,fused_r13a_nsweep,2.8835265000000363,2.8970225499999738,2.891711950302124,2.906115210056305,13.910409430090509,13.965413138734181,29.459901680214696,29.693500848578353
60,test_normal,12288,torch,4.087783500000107,4.094718449999835,4.11300802230835,4.121875,,,,
60,test_normal,16384,flashinfer,4.4360764999999525,4.446543000000075,4.4481120109558105,4.461543941497803,,,,
60,test_normal,16384,fused_r13a_nsweep,3.899062000000005,3.9164722499999844,3.9064639806747437,3.9223087191581727,12.105618557298394,12.177032164364888,28.55124140473178,28.709790993725594
60,test_normal,16384,torch,5.457144500000068,5.470080999999997,5.479664087295532,5.4997279882431025,,,,
60,test_hard,6144,flashinfer,1.6848984999999956,1.6904071999999863,1.697712004184723,1.702016043663025,,,,
60,test_hard,6144,fused_r13a_nsweep,1.358595500000003,1.3630530500000058,1.364944040775299,1.3698576509952545,19.36632978188262,19.600966629745074,32.63247436892206,33.4277527089718
60,test_hard,6144,torch,2.0166920000001554,2.0213930500000092,2.0503199100494385,2.054692780971527,,,,
60,test_hard,8192,flashinfer,2.2527239999999438,2.2642622000000703,2.2635040283203125,2.273515212535858,,,,
60,test_hard,8192,fused_r13a_nsweep,1.884036,1.8916050499999852,1.8943199515342712,1.9003968000411988,16.36631917624853,16.310290247638886,30.381115462413728,30.895710876004635
60,test_hard,8192,torch,2.7062140000000072,2.71261209999998,2.7412480115890503,2.744934284687042,,,,
60,test_hard,12288,flashinfer,3.3585980000001,3.3872194500001456,3.3685600757598877,3.396137642860413,,,,
60,test_hard,12288,fused_r13a_nsweep,2.87829600000006,2.8886822999999584,2.8835999965667725,2.8940416812896728,14.300669505550403,14.396658165097941,29.535202947366002,29.901637839256086
60,test_hard,12288,torch,4.084728999999963,4.092614199999955,4.113648176193237,4.121936106681824,,,,
60,test_hard,16384,flashinfer,4.458091999999961,4.486910650000009,4.471807956695557,4.505089497566223,,,,
60,test_hard,16384,fused_r13a_nsweep,3.888713999999978,3.901647950000057,3.893712043762207,3.8977503657341,12.77178667465785,12.927565730271962,28.734889869988773,29.08227984969696
60,test_hard,16384,torch,5.456686999999961,5.461373949999808,5.490464210510254,5.49616003036499,,,,
